id,listing_url,last_scraped,source,name,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1489424,https://www.airbnb.com/rooms/1489424,2024-03-10,city scrape,"Welcoming, easygoing, comfy bed, entire level",Quiet yet convenient.,https://a0.muscache.com/pictures/21977748/1dc80cd7_original.jpg,5294164,https://www.airbnb.com/users/show/5294164,Efrat,2013-03-02,"Albany, NY","I am originally from Brooklyn, New York. As an adult I have lived in both the U.S. and Israel. I am on faculty at Empire State College. My husband, Dan, works for NY State as a researcher on prison population issues. Our three daughters are young adults and scattered in various locations. We have hosted several exchange students from Europe, South America and Asia and our house was always full of young people when our daughters were younger. We are relaxed and welcoming hosts.",within an hour,100%,87%,f,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Albany, New York, United States",FOURTEENTH WARD,42.66719,-73.8158,Private room in home,Private room,2,1.0,1 private bath,1,1,"[""Microwave"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Fire extinguisher"", ""Dryer"", ""Heating"", ""Dedicated workspace"", ""Free parking on premises"", ""First aid kit"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Backyard"", ""Lock on bedroom door"", ""Dishwasher"", ""Shampoo"", ""Central air conditioning"", ""Host greets you"", ""Oven"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Refrigerator"", ""TV with standard cable"", ""Stove""]",$50.00,1,1125,1,1,1125,1125,1.0,1125.0,t,10,32,32,233,2024-03-10,248,50,6,2013-09-10,2024-02-27,4.75,4.83,4.57,4.92,4.92,4.82,4.81,f,1,0,1,0,1.94
2992450,https://www.airbnb.com/rooms/2992450,2024-03-11,city scrape,Luxury 2 bedroom apartment,,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,2013-01-07,"New York, NY",I am a real down to earth & cool person.,within a day,100%,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,f,,THIRD WARD,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Heating"", ""Smoke alarm"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen""]",$70.00,28,1125,28,28,1125,1125,28.0,1125.0,t,21,21,21,21,2024-03-11,9,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,f,1,1,0,0,0.08
3820211,https://www.airbnb.com/rooms/3820211,2024-03-11,city scrape,Restored Precinct in Center Sq. w/Parking,"Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,66%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,4,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Keypad"", ""Free dryer \u2013 In unit"", ""Heating"", ""Self check-in"", ""Free parking on premises"", ""Wifi"", ""Hot water"", ""HDTV with standard cable, Apple TV"", ""Carbon monoxide alarm"", ""Kitchen"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Central air conditioning"", ""Oven"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Pets allowed"", ""Refrigerator"", ""Stove""]",$125.00,2,1125,1,1,1125,1125,1.0,1125.0,t,26,55,85,360,2024-03-11,292,8,1,2014-08-15,2024-02-18,4.74,4.89,4.87,4.86,4.8,4.82,4.78,f,4,4,0,0,2.51
5651579,https://www.airbnb.com/rooms/5651579,2024-03-11,city scrape,Large studio apt  by Capital Center & ESP@,"The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone', 'work_email']",t,t,"Albany, New York, United States",SECOND WARD,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Heating"", ""Self check-in"", ""TV"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Lockbox"", ""Free parking on premises"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Backyard"", ""Hangers"", ""Shampoo"", ""Air conditioning"", ""Oven"", ""Coffee maker"", ""Private entrance"", ""Refrigerator"", ""Long term stays allowed"", ""Stove"", ""Bed linens""]",$105.00,7,45,1,7,1125,1125,6.9,1125.0,t,16,44,66,79,2024-03-11,337,31,4,2015-05-08,2024-03-07,4.51,4.61,4.45,4.82,4.87,4.79,4.64,f,2,1,1,0,3.13
6623339,https://www.airbnb.com/rooms/6623339,2024-03-11,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,"Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/4b711142-677c-4ffd-be68-da1c99962fb2.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,66%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Hair dryer"", ""Keypad"", ""Dryer"", ""Heating"", ""Self check-in"", ""Free parking on premises"", ""Wifi"", ""Washer"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Extra pillows and blankets"", ""Air conditioning"", ""Oven"", ""Coffee maker"", ""Private entrance"", ""Refrigerator"", ""Patio or balcony"", ""TV with standard cable"", ""Stove"", ""Bed linens""]",$126.00,2,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,2024-03-11,306,5,0,2015-06-07,2023-12-26,4.73,4.83,4.71,4.83,4.68,4.81,4.72,f,4,4,0,0,2.87
7563949,https://www.airbnb.com/rooms/7563949,2024-03-11,city scrape,Rest or work in peace | Garden | Wifi | Kitchen,,https://a0.muscache.com/pictures/53405335-edf0-4bb2-a0f4-3a860dba0698.jpg,39656001,https://www.airbnb.com/users/show/39656001,Urbangem,2015-07-26,"Albany, NY","I am a well traveled military veteran. I lived in Japan and Germany for over 8 years, in 2011, I relocated from Germany to Albany. I am a New York City Native. I fell in love with Albany, it's historic touches and the diverse population. A Brooklyn New York Native, It's home away from home for me. 

I fell in love with the Airbnb concept after I visited Montpelier, Vermont and I stayed at a bed and breakfast. I hope that your stay is an enjoyable one. 

Thank you for the opportunity to serve again. My life motto is never stop dreaming. ""Start small and dream big.""",within a few hours,83%,90%,f,https://a0.muscache.com/im/pictures/user/a265ff0b-234e-4785-9986-60054f6247ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a265ff0b-234e-4785-9986-60054f6247ca.jpg?aki_policy=profile_x_medium,Mansion Area,6,15,"['email', 'phone']",t,t,,SECOND WARD,42.64484,-73.75851,Private room in townhouse,Private room,2,2.0,2 shared baths,1,1,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Keypad"", ""Heating"", ""Self check-in"", ""Dedicated workspace"", ""Free parking on premises"", ""First aid kit"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Backyard"", ""Lock on bedroom door"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Extra pillows and blankets"", ""Air conditioning"", ""Oven"", ""Coffee maker"", ""Crib"", ""Pets allowed"", ""Refrigerator"", ""TV with standard cable"", ""Stove"", ""Bed linens""]",$190.00,1,2,1,1,2,2,1.0,2.0,t,30,60,90,365,2024-03-11,37,0,0,2016-07-10,2023-02-19,4.59,4.67,4.83,4.69,4.81,4.42,4.53,f,6,3,3,0,0.40
8035768,https://www.airbnb.com/rooms/8035768,2024-03-11,previous scrape,Entire Beautiful French Victorian 1884,"There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/103429331/a0a6c0b1_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,2015-08-24,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",within a few hours,100%,73%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Albany, New York, United States",TENTH WARD,42.66088,-73.78147,Entire home,Entire home/apt,6,,3.5 baths,3,,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Room-darkening shades"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Indoor fireplace: gas"", ""Fire extinguisher"", ""AC - split type ductless system"", ""Heating"", ""Self check-in"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Free parking on premises"", ""First aid kit"", ""Wifi"", ""Dining table"", ""Freezer"", ""Hot water"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Kitchen"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Window AC unit"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Portable air conditioning"", ""Coffee maker"", ""Private patio or balcony"", ""Security cameras on property"", ""Pets allowed"", ""Private entrance"", ""Refrigerator"", ""Long term stays allowed"", ""TV with Amazon Prime Video, Apple TV, Netflix, Roku, standard cable"", ""Pocket wifi"", ""Smart lock"", ""Bed linens"", ""Laundromat nearby"", ""Free washer \u2013 In building""]",,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,365,2024-03-11,56,4,0,2015-09-02,2024-01-28,4.75,4.81,4.78,4.92,4.8,4.74,4.75,f,2,1,1,0,0.54
8035784,https://www.airbnb.com/rooms/8035784,2024-03-11,city scrape,Delightful French Victorian,"There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/102414176/e6b76700_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,2015-08-24,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",within a few hours,100%,73%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Albany, New York, United States",TENTH WARD,42.66063,-73.78115,Private room in home,Private room,2,2.5,2.5 shared baths,1,1,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Free street parking"", ""Hair dryer"", ""Fire extinguisher"", ""Heating"", ""Self check-in"", ""Dedicated workspace"", ""Free parking on premises"", ""First aid kit"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Backyard"", ""Lock on bedroom door"", ""Hangers"", ""Shampoo"", ""Window AC unit"", ""Extra pillows and blankets"", ""Central air conditioning"", ""Private patio or balcony"", ""Pets allowed"", ""Indoor fireplace"", ""Private entrance"", ""Refrigerator"", ""TV with standard cable"", ""Long term stays allowed"", ""Smart lock"", ""Bed linens""]",$199.00,3,65,3,3,65,65,3.0,65.0,t,30,60,90,179,2024-03-11,18,0,0,2015-10-17,2020-07-25,4.61,4.83,4.61,4.78,4.83,4.67,4.72,f,2,1,1,0,0.18
8915877,https://www.airbnb.com/rooms/8915877,2024-03-11,city scrape,"Charming 1BR State Capitol, downtwn","This apartment is directly across Eagle Street from the Executive Mansion. Walking distance to Lincoln Park, which is a beautiful downtown park with a .5 mile loop and plenty of green space. The Cathedral of the Immaculate Conception is across the street, which is a recently restored Roman Catholic cathedral with beautiful architecture. 5 minute walk to the concourse/empire state plaza. Bars/restaurants within walking distance. Lark Street is less than a mile up Madison Ave. Pearl Street is about a mile away.",https://a0.muscache.com/pictures/6684e943-01a0-4bc8-91ee-87e9fa7662c0.jpg,46312980,https://www.airbnb.com/users/show/46312980,Robert,2015-10-11,"Albany, NY",,within a few hours,100%,70%,t,https://a0.muscache.com/im/pictures/user/72e07eec-3439-4503-be7c-96f616c3bb46.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/72e07eec-3439-4503-be7c-96f616c3bb46.jpg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,"Albany, New York, United States",SECOND WARD,42.64603,-73.75986,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Microwave"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Dryer"", ""Heating"", ""TV"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Washer"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dishwasher"", ""Shampoo"", ""Air conditioning"", ""Oven"", ""Coffee maker"", ""Pets allowed"", ""Private entrance"", ""Refrigerator"", ""Breakfast"", ""Stove"", ""Bed linens""]",$85.00,3,1125,3,3,1125,1125,3.0,1125.0,t,0,9,39,311,2024-03-11,227,3,1,2015-10-25,2024-02-23,4.74,4.91,4.8,4.93,4.9,4.8,4.8,f,1,1,0,0,2.22
9005989,https://www.airbnb.com/rooms/9005989,2024-03-11,city scrape,"Studio in The heart of Center SQ, in Albany NY","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,https://www.airbnb.com/users/show/17766924,Sugey,2014-07-07,"Albany, NY",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Albany, New York, United States",SIXTH WARD,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Microwave"", ""Smoke alarm"", ""Shower gel"", ""Cooking basics"", ""Essentials"", ""Free street parking"", ""Pack \u2019n play/Travel crib"", ""Portable fans"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Heating"", ""Self check-in"", ""TV"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Kitchen"", ""Hangers"", ""Dishwasher"", ""Shampoo"", ""Window AC unit"", ""Oven"", ""Coffee maker"", ""Conditioner"", ""Pets allowed"", ""Private entrance"", ""Refrigerator"", ""Long term stays allowed"", ""Stove"", ""Smart lock"", ""Bed linens"", ""Laundromat nearby""]",$87.00,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,2024-03-11,580,39,2,2016-08-07,2024-02-25,4.79,4.86,4.83,4.95,4.92,4.87,4.78,f,1,1,0,0,6.27
